PicoQuant FluoFit 4.6.5.0
Saved : 5/21/2025 12:47:27 PM

Repeated with correct IRF

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #0 Decay:
"\..\tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"\..\irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 0.8238 ; Fitted Data Points: 3766

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    3.2715          0    2.4393          0    3.2715      0.000    3.2715      0.000
    3.2837          0    2.4515          0    3.2837      0.000    3.2837      0.000
    3.2959          1    2.4637          0    3.2959      0.000    3.2959      0.000
    3.3081          0    2.4759          0    3.3081      0.000    3.3081      0.000
    3.3203          0    2.4881          0    3.3203      0.000    3.3203      0.000
    3.3325          0    2.5003          0    3.3325      0.000    3.3325      0.000
    3.3447          0    2.5125          0    3.3447      0.000    3.3447      0.000
    3.3569          0    2.5247          0    3.3569      0.000    3.3569      0.000
    3.3691          0    2.5369          0    3.3691      0.000    3.3691      0.000
    3.3813          0    2.5491          0    3.3813      0.000    3.3813      0.000
    3.3936          0    2.5614          0    3.3936      0.000    3.3936      0.000
    3.4058          0    2.5736          0    3.4058      0.000    3.4058      0.000
    3.4180          0    2.5858          0    3.4180      0.000    3.4180      0.000
    3.4302          0    2.5980          0    3.4302      0.000    3.4302      0.000
    3.4424          0    2.6102          0    3.4424      0.000    3.4424      0.000
    3.4546          0    2.6224          0    3.4546      0.000    3.4546      0.000
    3.4668          0    2.6346          0    3.4668      0.000    3.4668      0.000
    3.4790          0    2.6468          0    3.4790      0.000    3.4790      0.000
    3.4912          0    2.6590          0    3.4912      0.000    3.4912      0.000
    3.5034          0    2.6712          0    3.5034      0.000    3.5034      0.000
    3.5156          0    2.6834          0    3.5156      0.000    3.5156      0.000
    3.5278          0    2.6956          0    3.5278      0.000    3.5278      0.000
    3.5400          0    2.7078          0    3.5400      0.000    3.5400      0.000
    3.5522          0    2.7200          0    3.5522      0.000    3.5522      0.000
    3.5645          0    2.7323          0    3.5645      0.000    3.5645      0.000
    3.5767          0    2.7445          0    3.5767      0.000    3.5767      0.000
    3.5889          0    2.7567          0    3.5889      0.000    3.5889      0.000
    3.6011          0    2.7689          0    3.6011      0.000    3.6011      0.000
    3.6133          0    2.7811          0    3.6133      0.000    3.6133      0.000
    3.6255          0    2.7933          0    3.6255      0.000    3.6255      0.000
    3.6377          0    2.8055          0    3.6377      0.000    3.6377      0.000
    3.6499          0    2.8177          0    3.6499      0.000    3.6499      0.000
    3.6621          0    2.8299          0    3.6621      0.000    3.6621      0.000
    3.6743          0    2.8421          1    3.6743      0.000    3.6743      0.000
    3.6865          0    2.8543          0    3.6865      0.000    3.6865      0.000
    3.6987          0    2.8665          0    3.6987      0.000    3.6987      0.000
    3.7109          0    2.8787          0    3.7109      0.000    3.7109      0.000
    3.7231          0    2.8909          0    3.7231      0.000    3.7231      0.000
    3.7354          0    2.9032          0    3.7354      0.000    3.7354      0.000
    3.7476          0    2.9154          0    3.7476      0.000    3.7476      0.000
    3.7598          0    2.9276          0    3.7598      0.000    3.7598      0.000
    3.7720          0    2.9398          0    3.7720      0.000    3.7720      0.000
    3.7842          0    2.9520          0    3.7842      0.000    3.7842      0.000
    3.7964          0    2.9642          0    3.7964      0.000    3.7964      0.000
    3.8086          0    2.9764          0    3.8086      0.000    3.8086      0.000
    3.8208          0    2.9886          0    3.8208      0.000    3.8208      0.000
    3.8330          0    3.0008          0    3.8330      0.000    3.8330      0.000
    3.8452          0    3.0130          0    3.8452      0.000    3.8452      0.000
    3.8574          0    3.0252          0    3.8574      0.000    3.8574      0.000
    3.8696          0    3.0374          0    3.8696      0.000    3.8696      0.000
    3.8818          0    3.0496          0    3.8818      0.000    3.8818      0.000
    3.8940          0    3.0618          0    3.8940      0.000    3.8940      0.000
    3.9062          1    3.0741          0    3.9062      0.000    3.9062      0.000
    3.9185          0    3.0863          0    3.9185      0.000    3.9185      0.000
    3.9307          0    3.0985          0    3.9307      0.000    3.9307      0.000
    3.9429          0    3.1107          0    3.9429      0.000    3.9429      0.000
    3.9551          0    3.1229          0    3.9551      0.000    3.9551      0.000
    3.9673          0    3.1351          0    3.9673      0.000    3.9673      0.000
    3.9795          0    3.1473          0    3.9795      0.000    3.9795      0.000
    3.9917          0    3.1595          0    3.9917      0.000    3.9917      0.000
    4.0039          0    3.1717          0    4.0039      0.000    4.0039      0.000
    4.0161          0    3.1839          0    4.0161      0.000    4.0161      0.000
    4.0283          0    3.1961          0    4.0283      0.000    4.0283      0.000
    4.0405          0    3.2083          0    4.0405      0.000    4.0405      0.000
    4.0527          0    3.2205          0    4.0527      0.000    4.0527      0.000
    4.0649          0    3.2327          0    4.0649      0.000    4.0649      0.000
    4.0771          0    3.2449          0    4.0771      0.000    4.0771      0.000
    4.0894          0    3.2572          0    4.0894      0.000    4.0894      0.000
